#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
0	10906	152	595	990	812	2603	274	769	1374	727	736	158	560	434	112	1724	260	1057	204	647	742	318	83	396	720	837	1096	889	392	461	1083	218	282	964	107	425	708	536	741	868	973	1797	1355	227	194	699	279	559	751	411	826	1077	944	642	191	559	165	1395	999	262
1	0	60	13	22	14	32	4	15	29	18	29	18	12	15	4	34	11	25	1	5	21	10	0	6	15	17	20	17	9	13	35	11	13	9	0	6	12	7	12	25	36	18	21	13	2	9	6	12	21	20	10	22	25	7	5	18	7	27	9	5
2	0	0	140	52	62	185	12	53	92	47	29	11	43	26	4	126	28	48	14	41	81	29	8	32	44	58	55	60	33	37	60	13	14	52	9	24	75	50	48	61	49	114	96	9	23	46	21	54	38	31	70	94	49	53	9	28	8	91	61	19
3	0	0	0	397	70	249	35	86	184	75	153	23	79	34	8	147	25	159	17	53	65	46	9	69	87	130	224	147	59	105	190	52	40	118	9	40	75	52	84	156	138	187	188	38	22	83	38	67	80	58	97	106	128	75	25	113	8	127	176	23
4	0	0	0	0	194	253	29	53	98	94	68	20	40	53	12	148	19	82	21	68	75	28	8	46	55	73	89	76	30	32	88	16	21	81	7	58	88	57	66	82	104	154	120	20	19	47	38	76	56	33	104	105	74	92	21	47	12	105	80	19
5	0	0	0	0	0	1472	67	261	523	226	176	36	158	105	15	540	62	288	51	345	177	71	20	102	206	261	278	334	119	121	328	44	67	334	31	155	237	224	234	234	231	1148	468	58	53	253	85	176	195	87	281	281	266	206	55	113	40	370	364	58
6	0	0	0	0	0	0	85	12	40	23	22	4	17	7	5	60	4	26	4	20	31	7	4	30	17	39	27	29	9	14	40	3	12	30	1	19	27	14	31	30	50	46	42	13	11	22	11	34	21	12	39	44	21	29	4	13	5	56	20	14
7	0	0	0	0	0	0	0	335	186	89	53	21	54	25	8	144	26	114	15	76	50	17	14	37	157	84	80	145	29	54	83	19	28	74	3	25	60	52	91	81	73	161	133	24	21	210	20	44	140	27	133	96	86	60	21	35	10	117	186	34
8	0	0	0	0	0	0	0	0	566	109	132	22	111	77	10	292	40	205	42	106	72	35	11	79	150	174	158	364	66	74	182	30	35	172	20	75	100	106	163	147	158	333	227	42	41	203	35	87	161	66	172	148	203	94	37	82	24	226	230	51
9	0	0	0	0	0	0	0	0	0	205	58	12	50	26	3	151	20	86	24	50	59	23	7	33	79	76	80	71	31	35	80	15	28	88	10	47	74	36	72	83	91	135	118	13	16	53	27	54	89	27	92	113	64	63	25	43	15	91	80	29
