#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	20375	3323	1924	1730	1397	1287	3736	4145	2117	831	2451	4343	2583	4184	3220	4439	3237	3151	4614	2430
1	0	1011	380	365	264	304	711	659	365	153	391	852	415	658	552	635	503	418	774	398
2	0	0	425	155	102	182	399	477	212	71	281	411	303	430	328	371	274	225	434	268
3	0	0	0	449	238	123	429	311	279	58	205	421	213	341	222	314	313	210	319	202
4	0	0	0	0	343	127	262	292	189	53	173	357	206	264	204	224	256	157	262	165
5	0	0	0	0	0	250	261	274	165	59	157	332	216	301	234	252	204	161	259	161
6	0	0	0	0	0	0	1098	897	525	142	589	774	637	809	536	735	600	506	794	471
7	0	0	0	0	0	0	0	1556	428	137	923	679	881	1166	813	831	670	498	712	539
8	0	0	0	0	0	0	0	0	522	104	223	474	266	446	326	543	394	341	433	297
9	0	0	0	0	0	0	0	0	0	158	108	196	115	202	120	246	149	136	185	149
10	0	0	0	0	0	0	0	0	0	0	811	421	533	825	440	513	487	335	470	340
11	0	0	0	0	0	0	0	0	0	0	0	1124	457	765	645	800	618	514	972	462
12	0	0	0	0	0	0	0	0	0	0	0	0	924	946	425	528	452	402	513	377
13	0	0	0	0	0	0	0	0	0	0	0	0	0	1537	697	944	911	653	749	583
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	646	475	438	692	338
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1719	771	1257	900	617
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	608	596	421
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	621	393
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	508
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578
